,precision,recall,f1-score,support
普通锈病,1.0,1.0,1.0,50.0
灰斑病,0.9772727272727273,0.86,0.9148936170212766,50.0
健康叶片,1.0,1.0,1.0,50.0
北方叶枯病,0.875,0.98,0.9245283018867925,50.0
accuracy,0.96,0.96,0.96,0.96
macro avg,0.9630681818181819,0.96,0.9598554797270172,200.0
weighted avg,0.9630681818181819,0.96,0.9598554797270172,200.0
